,title,guid,link,description,year_month
11927,Masters 2023: LIV golfers allowed to compete at Augusta National,https://www.bbc.co.uk/sport/golf/64044926,https://www.bbc.co.uk/sport/golf/64044926?at_medium=RSS&at_campaign=KARANGA,"Players who have signed up to the controversial LIV Golf circuit will be allowed to play at the 2023 Masters, Augusta officials confirm.",2022-12
34245,Southgate 'still spinning plates' - but who impressed against Bosnia?,https://www.bbc.com/sport/football/articles/c0ddlpjpdzeo#6,https://www.bbc.com/sport/football/articles/c0ddlpjpdzeo,"England manager Gareth Southgate says he is ""spinning a lot of plates"" as the deadline to finalise his squad for Euro 2024 nears.",2024-06
8268,County Championship: Surrey beat Yorkshire by 10 wickets to win title,https://www.bbc.co.uk/sport/cricket/62988999,https://www.bbc.co.uk/sport/cricket/62988999?at_medium=RSS&at_campaign=KARANGA,Surrey win the County Championship for the first time since 2018 - their 20th outright title - as they beat Yorkshire at The Oval.,2022-09
17959,Newspaper headlines: 'Harry's reality check' and 'new low' for Russia,https://www.bbc.co.uk/news/blogs-the-papers-65829289,https://www.bbc.co.uk/news/blogs-the-papers-65829289?at_medium=RSS&at_campaign=KARANGA,Wednesday's front pages cover Prince Harry's appearance in court and the collapse of a major dam in Ukraine.,2023-06
2683,Prof Sir John Curtice on what results show,https://www.bbc.co.uk/news/uk-politics-61347764,https://www.bbc.co.uk/news/uk-politics-61347764?at_medium=RSS&at_campaign=KARANGA,"Results so far on Friday show Lib Dems, not Labour, capitalising on Tory losses.",2022-05
38878,The Jeremy Kyle Show: Cancelled and controversial but cleared,https://www.bbc.com/news/articles/cp81g75m3eno#3,https://www.bbc.com/news/articles/cp81g75m3eno,"The show came to an abrupt end after a guest, Steven Dymond, was found dead in 2019.",2024-09
5728,Newspaper headlines: 'Wish you weren't here' and Sunak's crisis warning,https://www.bbc.co.uk/news/blogs-the-papers-62274337,https://www.bbc.co.uk/news/blogs-the-papers-62274337?at_medium=RSS&at_campaign=KARANGA,Travel getaway chaos and the Conservative leadership contest dominate Saturday's front pages.,2022-07
18815,In pictures: The finalists of Scotland's Home of the Year 2023,https://www.bbc.co.uk/news/uk-scotland-66004843,https://www.bbc.co.uk/news/uk-scotland-66004843?at_medium=RSS&at_campaign=KARANGA,One of these homes will be revealed as winner of Scotland's Home of the Year on Monday.,2023-06
36341,'We're behind you' PM tells England ahead of final,https://www.bbc.com/news/articles/cljy60y9yj7o#3,https://www.bbc.com/news/articles/cljy60y9yj7o,Sir Keir Starmer will be attending the Euro 2024 final when England take on Spain in Berlin on Sunday.,2024-07
10988,World Cup 2022: Germany's Niclas Fullkrug's amazing story,https://www.bbc.co.uk/sport/football/63782524,https://www.bbc.co.uk/sport/football/63782524?at_medium=RSS&at_campaign=KARANGA,Niclas Fullkrug kept Germany in the World Cup with his strike against Spain on Sunday - and his personal story is just as amazing.,2022-11
4190,2022 World Cup: Australia's dancing sub keeper Andrew Redmayne makes winning save,https://www.bbc.co.uk/sport/av/football/61792851,https://www.bbc.co.uk/sport/av/football/61792851?at_medium=RSS&at_campaign=KARANGA,"Watch the moment Australia reached the 2022 World Cup, as substitute goalkeeper Andrew Redmayne saves Alex Valera's final spot-kick in the shootout.",2022-06
5672,Euro 2022: England beat Spain to book place in semis - highlights,https://www.bbc.co.uk/sport/av/football/62246791,https://www.bbc.co.uk/sport/av/football/62246791?at_medium=RSS&at_campaign=KARANGA,England book their place in the semi-finals of Euro 2022 thanks to Georgia Stanway's superb extra-time winner against Spain at Brighton's Amex Stadium.,2022-07
21390,Florida: Mural dedicated to Lyra McKee defaced,https://www.bbc.co.uk/news/uk-northern-ireland-66645407,https://www.bbc.co.uk/news/uk-northern-ireland-66645407?at_medium=RSS&at_campaign=KARANGA,The mural was unveiled in 2019 in a tribute to the journalist who was shot during a Londonderry riot.,2023-08
18933,Royal finances: Where does the King get his money?,https://www.bbc.co.uk/news/explainers-57559653,https://www.bbc.co.uk/news/explainers-57559653?at_medium=RSS&at_campaign=KARANGA,The government has confirmed how much money the Royal Family received from taxpayers in 2022.,2023-06
36865,Spectacular photos from the Paris 2024 opening ceremony,https://www.bbc.com/news/articles/c9x827dnxpgo#0,https://www.bbc.com/news/articles/c9x827dnxpgo,A selection of eye-catching moments from the opening ceremony for the 2024 Olympic Games in Paris.,2024-07
16594,What it's like inside Russia 14 months after Ukraine invasion,https://www.bbc.co.uk/news/world-europe-65454203,https://www.bbc.co.uk/news/world-europe-65454203?at_medium=RSS&at_campaign=KARANGA,"At first glance things may seem normal, but with a closer look Moscow's narrative of the war is prominent.",2023-05
25395,Wales v Turkey: Rob Page's side set for night of nerves in final Euro 2024 qualifier in Cardiff,https://www.bbc.co.uk/sport/football/67411397,https://www.bbc.co.uk/sport/football/67411397?at_medium=RSS&at_campaign=KARANGA,Wales host Turkey in their final Euro 2024 qualifier on Tuesday night knowing their dreams of a direct route to next summer's finals will be decided both in Cardiff and Croatia.,2023-11
30432,Five ways to save on train tickets as fares rise,https://www.bbc.co.uk/news/business-64827711#5,https://www.bbc.co.uk/news/business-64827711,"As rail fares rise on Sunday, we find the ways passengers can keep journeys as cheap as possible.",2024-03
26460,Seven-storey building partially collapses in New York City,https://www.bbc.co.uk/news/world-us-canada-67698743,https://www.bbc.co.uk/news/world-us-canada-67698743?at_medium=RSS&at_campaign=KARANGA,Officials are investigating what caused the collapse of the residential structure in the Bronx on Monday.,2023-12
19530,Manipur: India police face scrutiny after women paraded naked,https://www.bbc.co.uk/news/world-asia-india-66264926,https://www.bbc.co.uk/news/world-asia-india-66264926?at_medium=RSS&at_campaign=KARANGA,"A video of the incident, which took place on 4 May in Manipur state, went viral on Wednesday and caused global outrage.",2023-07
4533,The tiny mites that have sex on our faces have a problem,https://www.bbc.co.uk/news/newsbeat-61894186,https://www.bbc.co.uk/news/newsbeat-61894186?at_medium=RSS&at_campaign=KARANGA,The 0.3mm long organisms live deep in the pores of our faces but may be about to go extinct.,2022-06
20544,Train strikes: RMT union announces new weekend walk-outs,https://www.bbc.co.uk/news/business-66479059,https://www.bbc.co.uk/news/business-66479059?at_medium=RSS&at_campaign=KARANGA,"About 20,000 members will take strike action on 26 August and 2 September over pay and conditions.",2023-08
21722,"Rare Harry Potter book survives fire and sells for £15,000",https://www.bbc.co.uk/news/uk-scotland-glasgow-west-66721436,https://www.bbc.co.uk/news/uk-scotland-glasgow-west-66721436?at_medium=RSS&at_campaign=KARANGA,It is one of only 15 copies of the special edition which were given to competition winners in 2012.,2023-09
32254,Man City's Haaland a doubt for FA Cup semi-final,https://www.bbc.co.uk/sport/football/68860454#5,https://www.bbc.co.uk/sport/football/68860454,Manchester City striker Erling Haaland is a doubt for his side's FA Cup semi-final against Chelsea on Saturday.,2024-04
25508,What is the minimum wage and how much is it?,https://www.bbc.co.uk/news/uk-politics-48445674,https://www.bbc.co.uk/news/uk-politics-48445674?at_medium=RSS&at_campaign=KARANGA,"The national living wage will go up next April, boosting 2.7 million people's pay.",2023-11
8981,Bank of England boss tells investors pensions help must end,https://www.bbc.co.uk/news/business-63223894,https://www.bbc.co.uk/news/business-63223894?at_medium=RSS&at_campaign=KARANGA,"The Bank of England says bond-buying help will end on Friday, despite pleas from investors to extend it.",2022-10
25055,Emma Hayes: Chelsea boss to take charge of USA women when WSL season ends,https://www.bbc.co.uk/sport/football/67330541,https://www.bbc.co.uk/sport/football/67330541?at_medium=RSS&at_campaign=KARANGA,Chelsea boss Emma Hayes is named the new manager of the United States women's national team and will take charge when the Women's Super League season ends in May.,2023-11
30158,'Devastated' dog theft victim let down over law,https://www.bbc.co.uk/news/uk-wales-68448497#7,https://www.bbc.co.uk/news/uk-wales-68448497,"Carwyn Powell's sheepdog went missing in 2018, and he says the law is too weak to tackle thefts.",2024-03
18830,Cat Stevens soothes an exhausted Glastonbury in the legend slot,https://www.bbc.co.uk/news/entertainment-arts-66014453,https://www.bbc.co.uk/news/entertainment-arts-66014453?at_medium=RSS&at_campaign=KARANGA,"The folk star plays a laid-back, hit-heavy set in the coveted Sunday afternoon ""legend slot"".",2023-06
32807,Hainault sword attack victim thanks NHS for saving his life,https://www.bbc.co.uk/news/uk-england-london-68950407#1,https://www.bbc.co.uk/news/uk-england-london-68950407,Henry De Los Rios Polania sustained a deep wound to his hand during the attack on Tuesday.,2024-05
31549,What is happening to energy bills?,https://www.bbc.co.uk/news/business-58090533#8,https://www.bbc.co.uk/news/business-58090533,A new energy price cap means the cost of electricity and gas went down from 1 April.,2024-04
16792,Three children among victims of Allen mall shooting in Texas,https://www.bbc.co.uk/news/world-us-canada-65527487,https://www.bbc.co.uk/news/world-us-canada-65527487?at_medium=RSS&at_campaign=KARANGA,More details are emerging about the eight victims of Saturday's deadly shooting at a mall in Allen.,2023-05
